record_id,timestamp_sent,true_label,source
REC_0,2026-05-10T16:42:55.699725,1,uci
REC_1,2026-05-10T16:42:55.865306,1,uci
REC_2,2026-05-10T16:42:55.915920,1,uci
REC_3,2026-05-10T16:42:55.966760,1,uci
REC_4,2026-05-10T16:42:56.017319,1,uci
REC_5,2026-05-10T16:42:56.067921,1,uci
REC_6,2026-05-10T16:42:56.119703,1,uci
REC_7,2026-05-10T16:42:56.170985,1,uci
REC_8,2026-05-10T16:42:56.221793,1,uci
REC_9,2026-05-10T16:42:56.272769,1,uci
REC_10,2026-05-10T16:42:56.323306,1,uci
REC_11,2026-05-10T16:42:56.373972,1,uci
REC_12,2026-05-10T16:42:56.424701,1,uci
REC_13,2026-05-10T16:42:56.475328,1,uci
REC_14,2026-05-10T16:42:56.525930,1,uci
REC_15,2026-05-10T16:42:56.576363,1,uci
REC_16,2026-05-10T16:42:56.627394,1,uci
REC_17,2026-05-10T16:42:56.678277,1,uci
REC_18,2026-05-10T16:42:56.763706,1,uci
REC_19,2026-05-10T16:42:56.824427,1,uci
REC_20,2026-05-10T16:42:56.875690,1,uci
REC_21,2026-05-10T16:42:56.926263,1,uci
REC_22,2026-05-10T16:42:56.977138,1,uci
REC_23,2026-05-10T16:42:57.027550,1,uci
REC_24,2026-05-10T16:42:57.078577,1,uci
REC_25,2026-05-10T16:42:57.129256,1,uci
REC_26,2026-05-10T16:42:57.180189,1,uci
REC_27,2026-05-10T16:42:57.230671,1,uci
REC_28,2026-05-10T16:42:57.281317,1,uci
REC_29,2026-05-10T16:42:57.332013,1,uci
REC_30,2026-05-10T16:42:57.382851,1,uci
REC_31,2026-05-10T16:42:57.433574,1,uci
REC_32,2026-05-10T16:42:57.484280,1,uci
REC_33,2026-05-10T16:42:57.535026,1,uci
REC_34,2026-05-10T16:42:57.585992,1,uci
REC_35,2026-05-10T16:42:57.636508,1,uci
REC_36,2026-05-10T16:42:57.687314,1,uci
REC_37,2026-05-10T16:42:57.738035,1,uci
REC_38,2026-05-10T16:42:57.788993,1,uci
REC_39,2026-05-10T16:42:57.840077,1,uci
REC_40,2026-05-10T16:42:57.890947,1,uci
REC_41,2026-05-10T16:42:57.941875,1,uci
REC_42,2026-05-10T16:42:57.993431,1,uci
REC_43,2026-05-10T16:42:58.044024,1,uci
REC_44,2026-05-10T16:42:58.095047,1,uci
REC_45,2026-05-10T16:42:58.145951,1,uci
REC_46,2026-05-10T16:42:58.196773,1,uci
REC_47,2026-05-10T16:42:58.247576,1,uci
REC_48,2026-05-10T16:42:58.298226,1,uci
REC_49,2026-05-10T16:42:58.348873,1,uci
REC_50,2026-05-10T16:42:58.399978,1,uci
REC_51,2026-05-10T16:42:58.451101,1,uci
REC_52,2026-05-10T16:42:58.501629,1,uci
REC_53,2026-05-10T16:42:58.552387,1,uci
REC_54,2026-05-10T16:42:58.603122,1,uci
REC_55,2026-05-10T16:42:58.653834,1,uci
REC_56,2026-05-10T16:42:58.704847,1,uci
REC_57,2026-05-10T16:42:58.755365,1,uci
REC_58,2026-05-10T16:42:58.805903,1,uci
REC_59,2026-05-10T16:42:58.857279,1,uci
REC_60,2026-05-10T16:42:58.908248,1,uci
REC_61,2026-05-10T16:42:58.958786,1,uci
REC_62,2026-05-10T16:42:59.009478,1,uci
REC_63,2026-05-10T16:42:59.060414,1,uci
REC_64,2026-05-10T16:42:59.111440,1,uci
REC_65,2026-05-10T16:42:59.162533,1,uci
REC_66,2026-05-10T16:42:59.213423,1,uci
REC_67,2026-05-10T16:42:59.264595,1,uci
REC_68,2026-05-10T16:42:59.315558,1,uci
REC_69,2026-05-10T16:42:59.366519,1,uci
REC_70,2026-05-10T16:42:59.417514,1,uci
REC_71,2026-05-10T16:42:59.468016,1,uci
REC_72,2026-05-10T16:42:59.518754,1,uci
REC_73,2026-05-10T16:42:59.569865,1,uci
REC_74,2026-05-10T16:42:59.620597,1,uci
REC_75,2026-05-10T16:42:59.671619,1,uci
REC_76,2026-05-10T16:42:59.722127,1,uci
REC_77,2026-05-10T16:42:59.772959,1,uci
REC_78,2026-05-10T16:42:59.823382,1,uci
REC_79,2026-05-10T16:42:59.874228,1,uci
REC_80,2026-05-10T16:42:59.924981,1,uci
REC_81,2026-05-10T16:42:59.975432,1,uci
REC_82,2026-05-10T16:43:00.026190,1,uci
REC_83,2026-05-10T16:43:00.077069,1,uci
REC_84,2026-05-10T16:43:00.127878,1,uci
REC_85,2026-05-10T16:43:00.178574,1,uci
REC_86,2026-05-10T16:43:00.229487,1,uci
REC_87,2026-05-10T16:43:00.280454,1,uci
REC_88,2026-05-10T16:43:00.331282,1,uci
REC_89,2026-05-10T16:43:00.382096,1,uci
REC_90,2026-05-10T16:43:00.432699,1,uci
REC_91,2026-05-10T16:43:00.483699,1,uci
REC_92,2026-05-10T16:43:00.534626,1,uci
REC_93,2026-05-10T16:43:00.585320,1,uci
REC_94,2026-05-10T16:43:00.635997,1,uci
REC_95,2026-05-10T16:43:00.687026,1,uci
REC_96,2026-05-10T16:43:00.738140,1,uci
REC_97,2026-05-10T16:43:00.789364,1,uci
REC_98,2026-05-10T16:43:00.840061,1,uci
REC_99,2026-05-10T16:43:00.890744,1,uci
